ID,"        ""adj.P.Val""",P.Value,logFC,"        ""Gene.symbol"""
8095566,1.01E-02,5.73E-04,-0.17554662,MOB1B
8021528,1.01E-02,5.74E-04,0.13760647,TNFRSF11A
8178811,1.01E-02,5.75E-04,-0.29731065,LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1
8027254,1.01E-02,5.75E-04,-0.39909343,ZNF90
8048595,1.01E-02,5.76E-04,0.24933983,GMPPA
8180029,1.01E-02,5.77E-04,-0.35493382,HLA-DQB2///HLA-DQB1
7902527,1.01E-02,5.77E-04,-0.28368083,PTGFR
8019622,1.01E-02,5.78E-04,0.3214616,TMEM106A
8055249,1.01E-02,5.78E-04,-0.15504033,FAM168B
7896311,1.01E-02,5.79E-04,0.4505128,
8017186,1.01E-02,5.81E-04,0.24651462,HEATR6
8113881,1.02E-02,5.83E-04,-0.16038112,RAPGEF6
7896290,1.02E-02,5.83E-04,-0.34504926,
8180387,1.02E-02,5.84E-04,0.29602517,NME2
8040113,1.02E-02,5.86E-04,-0.24448108,ASAP2
8140468,1.02E-02,5.87E-04,-0.31711708,GSAP
7945875,1.02E-02,5.89E-04,0.26112066,FAM86JP///FAM86HP///FAM86FP///FAM86C2P///EEF2KMT///FAM86B1///FAM86C1
7893255,1.03E-02,5.91E-04,-0.40933721,
8089261,1.03E-02,5.91E-04,-0.28467998,CBLB
8102800,1.03E-02,5.92E-04,0.77310576,SLC7A11
7980271,1.03E-02,5.94E-04,-0.16259957,NEK9
8161739,1.03E-02,5.95E-04,0.09458929,C9orf57
8115851,1.03E-02,5.96E-04,0.18146638,STC2
8092021,1.04E-02,5.97E-04,-0.23339086,LRRC31
8035787,1.04E-02,5.98E-04,0.13400314,
8016789,1.04E-02,5.98E-04,-0.25227444,MBTD1
7990391,1.04E-02,5.98E-04,0.0902444,CYP1A1
7931873,1.04E-02,5.98E-04,0.16801231,GDI2
7894666,1.04E-02,5.98E-04,-0.12207421,
8076563,1.04E-02,5.99E-04,0.1373127,MCAT
8119000,1.04E-02,6.00E-04,0.18984543,MAPK14
8147724,1.04E-02,6.02E-04,0.19357277,ATP6V1C1
7989277,1.04E-02,6.03E-04,-0.28573171,MYO1E
8121502,1.05E-02,6.12E-04,0.22630571,GTF3C6
7912040,1.05E-02,6.12E-04,-0.14817749,TNFRSF25
8090395,1.06E-02,6.13E-04,-0.12300509,TXNRD3NB///TXNRD3
7982845,1.06E-02,6.14E-04,0.17738202,VPS18
8035297,1.06E-02,6.14E-04,-0.44892036,PLVAP
7989307,1.06E-02,6.14E-04,-0.18733552,
7904863,1.06E-02,6.14E-04,-0.09642141,
8044191,1.06E-02,6.15E-04,0.06529189,SLC5A7
7958346,1.06E-02,6.16E-04,-0.17441182,TMEM263
8078729,1.06E-02,6.16E-04,0.27082975,MYD88
8111739,1.06E-02,6.16E-04,0.39876147,FYB
8163714,1.06E-02,6.17E-04,-0.31063163,
8136652,1.06E-02,6.18E-04,0.11123479,
8112053,1.06E-02,6.19E-04,0.27243758,CDC20B
8007799,1.06E-02,6.19E-04,-0.29851105,MGC57346
7895298,1.06E-02,6.22E-04,-0.31251333,
8042637,1.06E-02,6.22E-04,0.45254065,DYSF
8103867,1.07E-02,6.23E-04,0.07888458,WWC2-AS2
8114845,1.07E-02,6.24E-04,-0.21790237,PRELID2
8090133,1.07E-02,6.25E-04,-0.2360414,CCDC14
7903144,1.07E-02,6.26E-04,-0.34679878,SLC44A3
8033780,1.07E-02,6.26E-04,-0.15832349,ZNF426
7927955,1.07E-02,6.27E-04,0.14837285,KIF1BP
8070010,1.07E-02,6.29E-04,0.16256536,SYNJ1
8002344,1.07E-02,6.30E-04,-0.14341917,EXOSC6
7967456,1.08E-02,6.32E-04,0.2309504,RILPL2
8113073,1.08E-02,6.33E-04,-0.29908067,ARRDC3
7931081,1.08E-02,6.34E-04,-0.28295866,PLEKHA1
7926403,1.08E-02,6.34E-04,0.12627864,TMEM236
7926445,1.08E-02,6.34E-04,0.12627864,TMEM236
8083523,1.08E-02,6.36E-04,-0.15005888,GMPS
8029914,1.08E-02,6.36E-04,0.17086245,C5AR2
8052698,1.08E-02,6.38E-04,0.22913673,C1D
8062319,1.08E-02,6.38E-04,-0.1864656,TGIF2
7907211,1.08E-02,6.40E-04,0.22187615,
7941621,1.08E-02,6.40E-04,0.30064017,DPP3
8062213,1.09E-02,6.41E-04,-0.21904428,PHF20
8105899,1.09E-02,6.41E-04,0.279345,MARVELD2
8177498,1.09E-02,6.41E-04,0.279345,MARVELD2
8152606,1.09E-02,6.42E-04,0.21861069,SNTB1
8036881,1.09E-02,6.43E-04,0.1264745,
8086949,1.09E-02,6.43E-04,0.09987088,CCDC51
8084478,1.10E-02,6.49E-04,-0.13688366,FAM131A
8087860,1.10E-02,6.51E-04,0.25325685,TWF2
8081676,1.10E-02,6.53E-04,0.1706622,GTPBP8
8029098,1.10E-02,6.55E-04,0.54906144,CEACAM6
7902104,1.11E-02,6.56E-04,-0.25887712,PDE4B
7924499,1.11E-02,6.56E-04,0.26658624,TLR5
8069446,1.11E-02,6.57E-04,-0.17303833,
8119403,1.11E-02,6.58E-04,0.06557669,APOBEC2
7927606,1.11E-02,6.62E-04,-0.32035012,PRKG1
7911155,1.11E-02,6.63E-04,-0.20833794,SCCPDH
8116980,1.12E-02,6.64E-04,0.43550649,RNF182
7948167,1.12E-02,6.65E-04,-0.55009172,APLNR
7971615,1.12E-02,6.69E-04,0.19411474,EBPL
8131815,1.12E-02,6.69E-04,-0.19735792,KLHL7
8155770,1.12E-02,6.71E-04,-0.18636897,SMC5
7904158,1.12E-02,6.71E-04,-0.34882053,OLFML3
8106479,1.12E-02,6.71E-04,-0.21110657,SCAMP1
8083656,1.12E-02,6.72E-04,0.21057322,MFSD1
8073379,1.12E-02,6.72E-04,0.19691933,L3MBTL2
7899462,1.12E-02,6.73E-04,0.32847425,RCC1///SNHG3///RCC1
7913415,1.12E-02,6.73E-04,-0.17265921,USP48
8064808,1.13E-02,6.74E-04,-0.17831951,SLC23A2
7892744,1.13E-02,6.75E-04,-0.71992909,
8078834,1.13E-02,6.77E-04,-0.23358556,WDR48
8131957,1.13E-02,6.77E-04,0.42293658,SNX10
8005959,1.13E-02,6.77E-04,0.09469002,NEK8
8031893,1.13E-02,6.79E-04,-0.12309999,ZNF8
7986246,1.13E-02,6.81E-04,-0.18324552,
7907911,1.14E-02,6.83E-04,0.05666517,CACNA1E
7971820,1.14E-02,6.85E-04,-0.15356608,VPS36
8098822,1.14E-02,6.85E-04,-0.08378808,DGKQ
7938519,1.14E-02,6.86E-04,-0.44762948,MICALCL
7989725,1.14E-02,6.86E-04,-0.14124614,PDCD7
8061186,1.15E-02,6.90E-04,0.23299473,SEC23B
8110920,1.15E-02,6.91E-04,0.14657477,FASTKD3
8145532,1.15E-02,6.91E-04,-0.29836124,EPHX2
8027932,1.15E-02,6.93E-04,0.16980139,COX6B1
8133034,1.15E-02,6.94E-04,0.10852934,
7892947,1.15E-02,6.95E-04,0.24051284,
7914270,1.15E-02,6.96E-04,0.29409575,LAPTM5
8179638,1.16E-02,7.00E-04,0.17800838,TRIM26
7909545,1.16E-02,7.00E-04,-0.25500098,TRAF5
7896698,1.16E-02,7.03E-04,0.28780151,
7976976,1.16E-02,7.03E-04,0.15578591,TECPR2
8118345,1.16E-02,7.03E-04,0.55748717,CFB
7939884,1.16E-02,7.05E-04,0.10034303,TRIM49C///TRIM49B///TRIM49
8159848,1.16E-02,7.06E-04,0.10880181,
8158242,1.16E-02,7.06E-04,0.1440749,URM1
8041644,1.17E-02,7.08E-04,-0.54067755,PLEKHH2
8086185,1.17E-02,7.10E-04,0.23838365,PLCD1
7950597,1.17E-02,7.11E-04,-0.16874116,CLNS1A
7971482,1.17E-02,7.11E-04,0.31920949,
8097288,1.17E-02,7.11E-04,-0.30308652,FAT4
8061715,1.17E-02,7.13E-04,0.12322928,KIF3B
7923562,1.17E-02,7.14E-04,0.96499896,CHIT1
8041900,1.17E-02,7.15E-04,-0.2198311,
7967641,1.18E-02,7.19E-04,-0.10837135,TMEM132D
8169603,1.18E-02,7.20E-04,-0.34062757,LONRF3
8092594,1.18E-02,7.21E-04,-0.47902775,
7919800,1.18E-02,7.22E-04,0.28945205,CTSS
7896752,1.18E-02,7.23E-04,0.57727479,
8165667,1.18E-02,7.23E-04,0.57727479,
8144742,1.18E-02,7.23E-04,-0.28578627,MICU3
7892818,1.18E-02,7.24E-04,0.18392682,
7912928,1.19E-02,7.28E-04,0.16078241,SDHB
7897745,1.19E-02,7.29E-04,0.22590271,AGTRAP///BRAF
8087485,1.19E-02,7.29E-04,-0.28182895,UBA7
8180379,1.19E-02,7.30E-04,-0.19802696,MXRA7
8099967,1.19E-02,7.30E-04,0.19163196,RBM47
7940431,1.19E-02,7.30E-04,0.0962078,PGA4///PGA3///PGA5
8051814,1.19E-02,7.31E-04,-0.28852575,ZFP36L2
7908917,1.19E-02,7.31E-04,-0.45418372,BTG2
8064716,1.19E-02,7.32E-04,0.31345411,SIGLEC1
8065134,1.19E-02,7.33E-04,0.06990061,
8108192,1.20E-02,7.35E-04,0.0672124,C5orf66
7895673,1.20E-02,7.36E-04,0.46223799,
7905589,1.20E-02,7.36E-04,0.16851067,CHTOP
8067040,1.20E-02,7.38E-04,-0.46680423,NFATC2///NFATC2
7893040,1.20E-02,7.39E-04,-0.44007916,
7896929,1.20E-02,7.41E-04,-0.14952839,VWA1
8056184,1.20E-02,7.43E-04,-0.40435155,ITGB6///ITGB6
8098423,1.20E-02,7.43E-04,0.11586187,NEIL3
8056220,1.21E-02,7.43E-04,-0.20501114,AHCTF1P1///AHCTF1
7919051,1.21E-02,7.44E-04,-0.12461794,ZNF697
8055476,1.21E-02,7.45E-04,0.15764198,YWHAE
8013947,1.21E-02,7.46E-04,0.28884872,CORO6
8175016,1.21E-02,7.46E-04,-0.6559327,APLN
7938396,1.21E-02,7.50E-04,0.34651941,AMPD3
7895885,1.21E-02,7.51E-04,0.22528783,
8065016,1.22E-02,7.52E-04,-0.29114291,
8137414,1.22E-02,7.53E-04,-0.18663966,NUB1
8065738,1.22E-02,7.53E-04,0.3197279,AHCY
8174141,1.22E-02,7.53E-04,-0.37680919,BEX5
7901110,1.22E-02,7.54E-04,0.21301443,AKR1A1
7983843,1.22E-02,7.55E-04,-0.13107104,TCF12
8154416,1.22E-02,7.56E-04,-0.22419944,CCDC171
7923394,1.23E-02,7.61E-04,0.17910754,ARL8A
8153776,1.23E-02,7.63E-04,-0.18167601,VPS28
8037298,1.23E-02,7.63E-04,0.56704845,CD177
7927071,1.23E-02,7.65E-04,-0.1810345,ZNF37A
8067055,1.23E-02,7.66E-04,-0.25978123,ATP9A
8065963,1.23E-02,7.66E-04,-0.13711733,RBM12///CPNE1
7958989,1.23E-02,7.69E-04,0.31098048,PLBD2
8020347,1.24E-02,7.72E-04,-0.14961534,
8105506,1.24E-02,7.73E-04,-0.25233366,ZSWIM6
8145555,1.24E-02,7.74E-04,-0.26834663,SCARA3
7892548,1.24E-02,7.74E-04,-0.27728481,
7939374,1.24E-02,7.75E-04,-0.24541554,
8036304,1.24E-02,7.77E-04,-0.14787806,ZFP14
8067978,1.24E-02,7.77E-04,0.10428929,PPIAP30///PPIAL4C///PPIAL4A///PPIAL4G///PPIA
8171449,1.25E-02,7.80E-04,-0.42267639,ACE2
8137008,1.25E-02,7.82E-04,0.27470774,MPLKIP
8159371,1.25E-02,7.82E-04,0.07526183,MIR126
7933043,1.25E-02,7.84E-04,-0.42655828,
8055702,1.25E-02,7.84E-04,0.35547933,NMI
7909027,1.25E-02,7.84E-04,-0.2414688,NFASC
8109407,1.25E-02,7.86E-04,-0.25453491,GALNT10
7947138,1.25E-02,7.87E-04,0.18586402,FANCF///FANCF
8107208,1.25E-02,7.87E-04,-0.27095194,FER
7940565,1.25E-02,7.87E-04,0.4744256,FADS2
8009873,1.25E-02,7.87E-04,-0.28736345,MYO15B
8027018,1.25E-02,7.87E-04,0.15468761,KXD1
7953765,1.26E-02,7.92E-04,-0.45776665,RIMKLB
8004545,1.26E-02,7.92E-04,-0.25258928,ATP1B2
7976814,1.26E-02,7.94E-04,-0.4365054,SNORD114-2
7975292,1.26E-02,7.94E-04,-0.18995061,RAD51B
7962827,1.26E-02,7.97E-04,0.14613286,SNORA2A
8155212,1.27E-02,7.98E-04,0.1229881,
8001030,1.27E-02,8.00E-04,0.22705665,PYCARD
8156750,1.27E-02,8.03E-04,0.15434726,ANP32B
7947969,1.27E-02,8.04E-04,-0.13941611,FNBP4
8110562,1.27E-02,8.04E-04,-0.13264423,MAML1///LTC4S
8177217,1.27E-02,8.04E-04,-0.12801035,TTTY14
7961983,1.27E-02,8.06E-04,-0.16592664,TM7SF3
8162082,1.28E-02,8.07E-04,0.15426682,
7908867,1.28E-02,8.07E-04,0.15537864,TMEM183B///TMEM183A
7910905,1.28E-02,8.08E-04,0.1209007,
8102232,1.28E-02,8.10E-04,-0.36546665,LEF1
7911078,1.28E-02,8.10E-04,-0.2589593,DESI2
7905938,1.28E-02,8.12E-04,0.31839186,SLC50A1
8161915,1.28E-02,8.13E-04,0.06732076,
7931353,1.28E-02,8.13E-04,0.31357729,PTPRE
8072582,1.28E-02,8.14E-04,0.39654823,
7896491,1.28E-02,8.15E-04,0.20639953,
8105596,1.28E-02,8.16E-04,-0.46527544,RGS7BP
8101788,1.28E-02,8.16E-04,-0.22927909,UNC5C
7894020,1.28E-02,8.17E-04,-0.29576813,
8096160,1.28E-02,8.17E-04,-0.24274313,ARHGAP24
8173349,1.28E-02,8.18E-04,-0.17967209,AWAT2
8040698,1.28E-02,8.19E-04,0.22999349,SLC35F6
8050702,1.29E-02,8.20E-04,0.23634005,TP53I3
7961702,1.29E-02,8.20E-04,-0.22062137,KCNJ8
8139430,1.29E-02,8.21E-04,-0.13255489,PURB
7893002,1.29E-02,8.21E-04,0.18957681,
8066266,1.29E-02,8.22E-04,0.38618908,MAFB
8089038,1.29E-02,8.23E-04,0.32705297,
8112914,1.29E-02,8.23E-04,0.32705297,
8134098,1.29E-02,8.24E-04,-0.19716865,CDK14
7936835,1.30E-02,8.31E-04,-0.32088104,CPXM2
7984470,1.30E-02,8.32E-04,-0.10626286,FEM1B
8028652,1.31E-02,8.37E-04,-0.66690439,ZFP36
8015759,1.31E-02,8.39E-04,0.23769185,VAT1
8088911,1.31E-02,8.40E-04,-0.26501051,ZNF717
7946563,1.31E-02,8.42E-04,0.32667231,
8131919,1.31E-02,8.42E-04,0.07322798,NPY
7895266,1.32E-02,8.46E-04,-0.3115656,
8114006,1.32E-02,8.47E-04,-0.19124189,
8149218,1.32E-02,8.47E-04,-0.32646888,LINC00965///LINC00965
8149220,1.32E-02,8.47E-04,-0.32646888,LINC00965///LINC00965
8149222,1.32E-02,8.47E-04,-0.32646888,LINC00965///LINC00965
8149224,1.32E-02,8.47E-04,-0.32646888,LINC00965///LINC00965
8149226,1.32E-02,8.47E-04,-0.32646888,LINC00965///LINC00965
8105267,1.32E-02,8.48E-04,-0.76230522,ITGA2
8108403,1.32E-02,8.49E-04,-0.12408817,MATR3
8159919,1.32E-02,8.50E-04,-0.24990227,SPATA6L
8056837,1.32E-02,8.51E-04,-0.29057227,GPR155
7894908,1.32E-02,8.54E-04,0.24494483,
8173154,1.33E-02,8.55E-04,0.12369138,
8074061,1.33E-02,8.56E-04,-0.17942616,
7962384,1.33E-02,8.58E-04,0.05059263,ADAMTS20
8013243,1.33E-02,8.60E-04,0.26624864,SHMT1
8036302,1.33E-02,8.63E-04,-0.1535937,LINC00665
7915529,1.34E-02,8.64E-04,-0.15626128,HYI
8174636,1.34E-02,8.65E-04,-0.12898088,SUMO4///SUMO2
7927267,1.34E-02,8.68E-04,0.18045261,FAM35DP///FAM35BP///FAM35A
8089015,1.34E-02,8.69E-04,-0.21999206,PROS1
7987960,1.34E-02,8.69E-04,-0.12041438,TTBK2
7933982,1.34E-02,8.70E-04,-0.15669659,PBLD
8150714,1.34E-02,8.72E-04,-0.25138194,PCMTD1
8016168,1.34E-02,8.72E-04,0.11281119,PLCD3
8089527,1.34E-02,8.72E-04,0.18178576,ATG3
7927775,1.35E-02,8.74E-04,0.20229241,NRBF2
8094968,1.35E-02,8.77E-04,-0.08267546,ZAR1
8143605,1.35E-02,8.78E-04,-0.19564326,TCAF1
8164587,1.35E-02,8.78E-04,0.13074584,TOR1A
8064100,1.35E-02,8.78E-04,-0.26460608,PPDPF
8100338,1.35E-02,8.78E-04,0.1046511,ERVMER34-1
8005574,1.35E-02,8.79E-04,-0.27652962,
8169419,1.35E-02,8.80E-04,-0.19943345,ALG13
8180123,1.35E-02,8.83E-04,0.17148924,VPS52
8167973,1.35E-02,8.83E-04,-0.34702331,HEPH
8166049,1.35E-02,8.84E-04,-0.21086453,PRPS2
8155148,1.35E-02,8.84E-04,-0.15183557,TMEM8B
7966223,1.36E-02,8.90E-04,0.20305253,
8060895,1.36E-02,8.91E-04,-0.20050067,RNU105B
7919168,1.36E-02,8.91E-04,0.18723923,LOC100996724///PDE4DIP
8117140,1.36E-02,8.92E-04,-0.13243364,CDKAL1
7910611,1.36E-02,8.93E-04,-0.22606615,KCNK1
7956279,1.37E-02,8.95E-04,0.05379063,
8149153,1.37E-02,8.95E-04,-0.32975958,LINC00965///LINC00965
8149157,1.37E-02,8.95E-04,-0.32975958,LINC00965///LINC00965
8085350,1.37E-02,8.97E-04,-0.20975702,TAMM41
7932796,1.37E-02,9.01E-04,-0.2540679,SVIL
8044880,1.37E-02,9.02E-04,-0.25843983,
7894751,1.38E-02,9.04E-04,-0.34275399,
7961507,1.38E-02,9.04E-04,-0.54737665,ART4
7943919,1.38E-02,9.06E-04,0.24740505,TTC12
8101992,1.38E-02,9.08E-04,0.33834675,SLC39A8
8120883,1.38E-02,9.09E-04,-0.19497266,DOPEY1
8060225,1.39E-02,9.13E-04,0.17019422,HDLBP
8080562,1.39E-02,9.15E-04,0.21481697,IL17RB
8043375,1.40E-02,9.19E-04,0.58913412,
8135436,1.40E-02,9.20E-04,0.21490075,SLC26A4
8074286,1.40E-02,9.20E-04,-0.2647069,MICAL3
7956162,1.40E-02,9.21E-04,0.10694381,ZC3H10
8179595,1.40E-02,9.21E-04,-0.26692835,GABBR1
7892990,1.40E-02,9.21E-04,0.53864144,
7893493,1.40E-02,9.22E-04,-0.46076779,
8053533,1.40E-02,9.24E-04,0.16873632,IMMT
7934753,1.40E-02,9.25E-04,0.28286661,EIF5AL1///EIF5A
8005089,1.40E-02,9.28E-04,0.15925472,COX10
8088384,1.41E-02,9.32E-04,0.16448092,PDHB
7933976,1.41E-02,9.34E-04,-0.19972696,
7923378,1.41E-02,9.34E-04,-0.22764323,CSRP1
7965838,1.41E-02,9.35E-04,-0.15787671,
8075052,1.41E-02,9.36E-04,-0.11907737,LRP5L
7895167,1.41E-02,9.38E-04,0.42516351,
8149383,1.41E-02,9.38E-04,-0.06563048,FAM90A2P///FAM90A10P///FAM90A7P///FAM90A25P///FAM90A1
7977771,1.42E-02,9.39E-04,0.07895707,OR10G2
7898161,1.42E-02,9.41E-04,0.29104452,EFHD2
8035506,1.42E-02,9.41E-04,0.17311809,CRLF1
8032718,1.42E-02,9.42E-04,-0.17863266,DAPK3
8174076,1.42E-02,9.42E-04,0.31077144,GLA
8142415,1.42E-02,9.45E-04,-0.18899024,BMT2
7893201,1.42E-02,9.48E-04,-0.23032522,
8121794,1.43E-02,9.51E-04,0.39989579,SMPDL3A
7902822,1.43E-02,9.52E-04,-0.19540832,PKN2
7981953,1.43E-02,9.52E-04,-0.35484163,SNORD116-9///SNORD116-8///SNORD116-7///SNORD116-5///SNORD116-3
7981966,1.43E-02,9.52E-04,-0.35484163,SNORD116-9///SNORD116-8///SNORD116-7///SNORD116-5///SNORD116-3
8054846,1.43E-02,9.53E-04,-0.32836764,SCTR
8041820,1.43E-02,9.58E-04,-0.16461323,SOCS5
8153920,1.44E-02,9.59E-04,-0.18074122,ZNF250
8099926,1.44E-02,9.60E-04,-0.13730857,PDS5A
8141445,1.44E-02,9.61E-04,0.16689071,C7orf43
7928645,1.44E-02,9.62E-04,0.07211085,NUTM2B///NUTM2D///NUTM2A///NUTM2G///NUTM2F
8124654,1.44E-02,9.63E-04,-0.22047713,GABBR1
7894370,1.44E-02,9.65E-04,0.28503116,
8093332,1.44E-02,9.66E-04,-0.1537493,ZNF876P
8041170,1.44E-02,9.66E-04,-0.45529245,
8055350,1.44E-02,9.68E-04,-0.41364016,TMEM163
8169683,1.44E-02,9.69E-04,-0.17719507,ZBTB33
7903425,1.44E-02,9.69E-04,0.37422663,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
7903440,1.44E-02,9.69E-04,0.37422663,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
7918134,1.44E-02,9.69E-04,0.37422663,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
8004510,1.45E-02,9.73E-04,0.37310776,CD68
7942613,1.45E-02,9.73E-04,0.21189318,DGAT2
8165700,1.45E-02,9.73E-04,0.41842499,
8138647,1.45E-02,9.76E-04,0.09446704,C7orf31
8010287,1.45E-02,9.78E-04,-0.30903815,C1QTNF1
7947040,1.45E-02,9.79E-04,0.16322822,SPTY2D1
8022559,1.46E-02,9.81E-04,-0.52922243,ANKRD29
7981949,1.46E-02,9.81E-04,-0.33320349,SNORD116-1
8144416,1.46E-02,9.82E-04,-0.32389134,LINC00965///LINC00965
8144418,1.46E-02,9.82E-04,-0.32389134,LINC00965///LINC00965
8144490,1.46E-02,9.82E-04,-0.32389134,LINC00965///LINC00965
8144492,1.46E-02,9.82E-04,-0.32389134,LINC00965///LINC00965
8127646,1.46E-02,9.87E-04,-0.30484505,FILIP1
8084345,1.46E-02,9.89E-04,0.17514698,AP2M1
8097743,1.47E-02,9.91E-04,-0.39331673,
7983512,1.47E-02,9.91E-04,0.26627217,SQRDL
7952145,1.47E-02,9.91E-04,0.47344173,HYOU1
8161913,1.47E-02,9.92E-04,0.12047139,
7951734,1.47E-02,9.92E-04,0.13808567,ZW10
8178115,1.47E-02,9.93E-04,0.55067157,CFB
7933597,1.47E-02,9.95E-04,0.06101487,ASAH2B///ASAH2
7893789,1.47E-02,1.00E-03,-0.22107878,
7920000,1.47E-02,1.00E-03,-0.15508706,POGZ
8174291,1.47E-02,1.00E-03,0.06587595,ESX1
8006634,1.48E-02,1.00E-03,0.37504433,PIGW
7902425,1.48E-02,1.01E-03,0.42387911,ST6GALNAC3
8110463,1.48E-02,1.01E-03,-0.17140789,ZNF354B
7983306,1.49E-02,1.01E-03,0.18594757,WDR76
7893913,1.50E-02,1.02E-03,0.36509062,
7916229,1.50E-02,1.02E-03,-0.30590017,ECHDC2
7942123,1.50E-02,1.02E-03,-0.36171626,CCND1
8141052,1.50E-02,1.02E-03,0.10674323,PON1
8029710,1.50E-02,1.02E-03,0.19803526,VASP
8001946,1.50E-02,1.02E-03,-0.16613103,KIAA0895L
7924603,1.51E-02,1.03E-03,0.16590856,LBR
8111358,1.51E-02,1.03E-03,-0.10179796,
8140556,1.51E-02,1.03E-03,-0.55503984,HGF
7977077,1.51E-02,1.03E-03,-0.14642827,MARK3
8123080,1.51E-02,1.03E-03,-0.5405466,SYTL3
8163795,1.51E-02,1.03E-03,0.15034401,PSMD5
7966356,1.51E-02,1.03E-03,0.18232296,HVCN1
8146794,1.51E-02,1.03E-03,-0.44599548,PREX2
8051573,1.51E-02,1.03E-03,0.19629825,CDC42EP3
7924069,1.51E-02,1.03E-03,0.18288165,
7924619,1.51E-02,1.04E-03,-0.36626917,ENAH
7892736,1.51E-02,1.04E-03,0.14367753,
8034075,1.51E-02,1.04E-03,0.15521441,CDKN2D
8115756,1.52E-02,1.05E-03,0.18794183,KCNMB1
7946125,1.52E-02,1.05E-03,0.0745361,OR52B2
7962783,1.52E-02,1.05E-03,0.14353695,ASB8
8008900,1.52E-02,1.05E-03,0.44676122,CA4
8149165,1.52E-02,1.05E-03,-0.32382829,LINC00965///LINC00965
8149167,1.52E-02,1.05E-03,-0.32382829,LINC00965///LINC00965
8145440,1.52E-02,1.05E-03,-0.12881254,PPP2R2A
8071951,1.52E-02,1.05E-03,-0.14083441,
7901788,1.52E-02,1.05E-03,-0.26394181,NFIA
8062557,1.52E-02,1.05E-03,-0.29561995,PPP1R16B
7899244,1.53E-02,1.05E-03,0.19723058,PIGV
8065510,1.53E-02,1.05E-03,0.15135666,NANP
7897068,1.53E-02,1.05E-03,-0.18158272,SKI
7930663,1.53E-02,1.06E-03,-0.18874558,VWA2
7895041,1.53E-02,1.06E-03,0.19850933,
8162132,1.53E-02,1.06E-03,-0.11703304,C9orf153
8180195,1.53E-02,1.06E-03,-0.11727048,CFHR1
8125649,1.53E-02,1.06E-03,0.16391185,VPS52
8178917,1.53E-02,1.06E-03,0.16391185,VPS52
7927095,1.54E-02,1.06E-03,0.26405989,LOC100134822///LINC00266-1///PCMTD2
8014257,1.54E-02,1.07E-03,-0.41719868,SLFN12L
8018189,1.54E-02,1.07E-03,0.4676838,CD300E
7997192,1.54E-02,1.07E-03,0.53850535,HPR
7899654,1.54E-02,1.07E-03,-0.13671394,KHDRBS1
7981980,1.55E-02,1.07E-03,-0.13671764,SNORD116-16
7973694,1.55E-02,1.07E-03,0.06693734,LTB4R2///LTB4R
8103911,1.55E-02,1.07E-03,0.18231599,IRF2
7949765,1.55E-02,1.08E-03,0.18004502,PPP1CA
7979694,1.55E-02,1.08E-03,0.17327041,
8138442,1.55E-02,1.08E-03,-0.08773431,TWIST1
8013660,1.56E-02,1.08E-03,0.2562596,ALDOC
8084627,1.56E-02,1.08E-03,0.06722676,IGF2BP2-AS1
8043129,1.56E-02,1.08E-03,-0.14640528,
8077668,1.56E-02,1.09E-03,-0.16165194,IL17RE
8013486,1.56E-02,1.09E-03,-0.15869543,USP22
7955063,1.56E-02,1.09E-03,0.4172387,TMEM106C
7936661,1.56E-02,1.09E-03,0.17263676,PRDX3
8168062,1.56E-02,1.09E-03,0.08616477,EDA
8180003,1.56E-02,1.09E-03,-0.29243442,LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1
8178826,1.56E-02,1.09E-03,-0.47215769,HLA-DQB2///HLA-DQB1
8180022,1.56E-02,1.09E-03,-0.47215769,HLA-DQB2///HLA-DQB1
8125048,1.56E-02,1.09E-03,-0.18901056,DDAH2
7964436,1.56E-02,1.09E-03,0.17006882,ARHGAP9
8013804,1.57E-02,1.09E-03,0.19762651,DHRS13
8101429,1.57E-02,1.10E-03,0.40806506,PLAC8
7963774,1.58E-02,1.10E-03,0.13924502,ZNF385A
7960666,1.58E-02,1.10E-03,0.14718966,ZNF384
7895807,1.58E-02,1.11E-03,0.1681456,
7985620,1.58E-02,1.11E-03,-0.18436883,ALPK3
8018196,1.58E-02,1.11E-03,0.3123737,CD300LF
8155338,1.58E-02,1.11E-03,0.07256572,
8155369,1.58E-02,1.11E-03,0.07256572,
7969677,1.59E-02,1.11E-03,-0.17926675,MBNL2
8123767,1.59E-02,1.11E-03,0.19539866,SSR1
8139656,1.59E-02,1.12E-03,-0.3431477,GRB10
7895971,1.59E-02,1.12E-03,-0.24641302,
8138888,1.59E-02,1.12E-03,0.2902393,PDE1C
8061725,1.60E-02,1.13E-03,-0.16004083,ASXL1
8047702,1.61E-02,1.13E-03,-0.28641162,ICOS
7895710,1.61E-02,1.13E-03,-0.16740739,
7957008,1.61E-02,1.14E-03,-0.16809409,CPSF6
